,Prices,Beds,Baths,SquareFt,Loc,p/sf
56,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
57,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
58,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
59,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
60,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
61,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
62,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
63,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
64,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
65,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
66,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
67,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
68,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
69,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
70,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
71,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
72,399999.0,4,2,2100,"Montross, VA",190.47571428571428
73,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
74,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
75,299000.0,3,2,1300,"Suffolk, VA",230.0
76,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
77,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
78,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
79,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
80,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
81,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
82,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
83,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
84,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
85,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
86,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
87,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
88,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
89,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
90,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
91,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
92,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
93,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
94,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
95,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
96,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
97,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
98,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
99,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
100,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
101,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
102,399999.0,4,2,2100,"Montross, VA",190.47571428571428
103,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
104,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
105,299000.0,3,2,1300,"Suffolk, VA",230.0
106,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
107,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
108,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
109,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
110,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
111,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
112,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
113,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
114,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
115,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
116,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
117,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
118,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
119,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
120,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
121,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
122,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
123,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
124,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
125,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
126,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
127,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
128,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
129,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
130,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
131,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
132,399999.0,4,2,2100,"Montross, VA",190.47571428571428
133,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
134,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
135,299000.0,3,2,1300,"Suffolk, VA",230.0
136,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
137,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
138,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
139,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
140,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
141,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
142,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
143,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
144,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
145,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
146,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
147,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
148,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
149,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
150,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
151,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
152,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
153,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
154,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
155,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
156,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
157,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
158,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
159,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
160,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
161,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
162,399999.0,4,2,2100,"Montross, VA",190.47571428571428
163,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
164,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
165,299000.0,3,2,1300,"Suffolk, VA",230.0
166,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
167,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
168,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
169,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
170,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
171,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
172,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
173,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
174,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
175,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
176,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
177,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
178,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
179,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
180,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
181,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
182,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
183,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
184,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
185,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
186,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
187,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
188,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
189,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
190,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
191,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
192,399999.0,4,2,2100,"Montross, VA",190.47571428571428
193,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
194,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
195,299000.0,3,2,1300,"Suffolk, VA",230.0
196,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
197,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
198,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
199,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
200,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
201,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
202,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
203,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
204,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
205,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
206,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
207,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
208,1495000.0,4,6,4758,"Huguenot, Richmond, VA",314.20765027322403
209,897500.0,4,5,3385,"Hayes, VA",265.1403249630724
210,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
211,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
